family,genus,order,clade
Anacardiaceae,Attilaea,Sapindales,NA
Apocynaceae,Allomarkgrafia,Gentianales,NA
Apocynaceae,Angadenia,Gentianales,NA
Apocynaceae,Araujia,Gentianales,NA
Apocynaceae,Blepharodon,Gentianales,NA
Apocynaceae,Condylocarpon,Gentianales,NA
Apocynaceae,Cryptostegia,Gentianales,NA
Apocynaceae,Ditassa,Gentianales,NA
Apocynaceae,Forsteronia,Gentianales,NA
Apocynaceae,Laubertia,Gentianales,NA
Apocynaceae,Mesechites,Gentianales,NA
Apocynaceae,Monsanima,Gentianales,NA
Apocynaceae,Odontadenia,Gentianales,NA
Apocynaceae,Pentalinon,Gentianales,NA
Apocynaceae,Peplonia,Gentianales,NA
Apocynaceae,Prestonia,Gentianales,NA
Apocynaceae,Rhabdadenia,Gentianales,NA
Apocynaceae,Schubertia,Gentianales,NA
Apocynaceae,Secondatia,Gentianales,NA
Apocynaceae,Stipecoma,Gentianales,NA
Araceae,Heteropsis,Alismatales,NA
Asparagaceae,Herreria,Asparagales,NA
Asteraceae,Ekmaniopappus,Asterales,NA
Asteraceae,Herodotia,Asterales,NA
Asteraceae,Hidalgoa,Asterales,NA
Asteraceae,Leonis,Asterales,NA
Asteraceae,Mattfeldia,Asterales,NA
Asteraceae,Oldfeltia,Asterales,NA
Basellaceae,Anredera,Caryophyllales,NA
Bignoniaceae,Amphilophium,Lamiales,NA
Bignoniaceae,Anemopaegma,Lamiales,NA
Bignoniaceae,Bignonia,Lamiales,NA
Bignoniaceae,Campsis,Lamiales,NA
Bignoniaceae,Cuspidaria,Lamiales,NA
Bignoniaceae,Dolichandra,Lamiales,NA
Bignoniaceae,Fridericia,Lamiales,NA
Bignoniaceae,Lundia,Lamiales,NA
Bignoniaceae,Manaosella,Lamiales,NA
Bignoniaceae,Martinella,Lamiales,NA
Bignoniaceae,Perianthomega,Lamiales,NA
Bignoniaceae,Pleonotoma,Lamiales,NA
Bignoniaceae,Tourrettia,Lamiales,NA
Bignoniaceae,Tynanthus,Lamiales,NA
Celastraceae,Cheiloclinium,Celastrales,NA
Celastraceae,Peritassa,Celastrales,NA
Convolvulaceae,Dicranostyles,Solanales,NA
Convolvulaceae,Itzaea,Solanales,NA
Convolvulaceae,Maripa,Solanales,NA
Convolvulaceae,Odonellia,Solanales,NA
Cucurbitaceae,Calycophysum,Cucurbitales,NA
Cucurbitaceae,Cayaponia,Cucurbitales,NA
Cucurbitaceae,Cionosicys,Cucurbitales,NA
Cucurbitaceae,Cucurbitella,Cucurbitales,NA
Cucurbitaceae,Doyerea,Cucurbitales,NA
Cucurbitaceae,Fevillea,Cucurbitales,NA
Cucurbitaceae,Gurania,Cucurbitales,NA
Cucurbitaceae,Helmontia,Cucurbitales,NA
Cucurbitaceae,Linnaeosicyos,Cucurbitales,NA
Cucurbitaceae,Melothria,Cucurbitales,NA
Cucurbitaceae,Penelopeia,Cucurbitales,NA
Cucurbitaceae,Polyclathra,Cucurbitales,NA
Cucurbitaceae,Psiguria,Cucurbitales,NA
Cucurbitaceae,Sicana,Cucurbitales,NA
Cucurbitaceae,Sicyocaulis,Cucurbitales,NA
Cucurbitaceae,Siolmatra,Cucurbitales,NA
Cucurbitaceae,Wilbrandia,Cucurbitales,NA
Cyclanthaceae,Evodianthus,Pandanales,NA
Cyclanthaceae,Ludovia,Pandanales,NA
Cyclanthaceae,Thoracocarpus,Pandanales,NA
Dilleniaceae,Doliocarpus,Dilleniales,NA
Dilleniaceae,Neodillenia,Dilleniales,NA
Dilleniaceae,Pinzona,Dilleniales,NA
Euphorbiaceae,Bia,Malpighiales,NA
Euphorbiaceae,Platygyna,Malpighiales,NA
Euphorbiaceae,Romanoa,Malpighiales,NA
Fabaceae,Ancistrotropis,Fabales,NA
Fabaceae,Calopogonium,Fabales,NA
Fabaceae,Centrosema,Fabales,NA
Fabaceae,Cochliasanthus,Fabales,NA
Fabaceae,Cymbosema,Fabales,NA
Fabaceae,Dioclea,Fabales,NA
Fabaceae,Lablab,Fabales,NA
Fabaceae,Neorudolphia,Fabales,NA
Fabaceae,Pachyrhizus,Fabales,NA
Fabaceae,Rhodopis,Fabales,NA
Fabaceae,Schnella,Fabales,NA
Gesneriaceae,Neomortonia,Lamiales,NA
Icacinaceae,Leretia,Icacinales,NA
Icacinaceae,Pleurisanthes,Icacinales,NA
Loasaceae,Fuertesia,Cornales,NA
Malpighiaceae,Adelphia,Malpighiales,NA
Malpighiaceae,Aenigmatanthera,Malpighiales,NA
Malpighiaceae,Alicia,Malpighiales,NA
Malpighiaceae,Bronwenia,Malpighiales,NA
Malpighiaceae,Carolus,Malpighiales,NA
Malpighiaceae,Christianella,Malpighiales,NA
Malpighiaceae,Dicella,Malpighiales,NA
Malpighiaceae,Diplopterys,Malpighiales,NA
Malpighiaceae,Ectopopterys,Malpighiales,NA
Malpighiaceae,Excentradenia,Malpighiales,NA
Malpighiaceae,Heladena,Malpighiales,NA
Malpighiaceae,Henleophytum,Malpighiales,NA
Malpighiaceae,Heteropterys,Malpighiales,NA
Malpighiaceae,Jubelina,Malpighiales,NA
Malpighiaceae,Malpighiodes,Malpighiales,NA
Malpighiaceae,Niedenzuella,Malpighiales,NA
Malpighiaceae,Psychopterys,Malpighiales,NA
Malpighiaceae,Stigmaphyllon,Malpighiales,NA
Malpighiaceae,Thryallis,Malpighiales,NA
Marcgraviaceae,Marcgravia,Ericales,NA
Marcgraviaceae,Norantea,Ericales,NA
Marcgraviaceae,Sarcopera,Ericales,NA
Marcgraviaceae,Souroubea,Ericales,NA
Menispermaceae,Abuta,Ranunculales,NA
Menispermaceae,Anomospermum,Ranunculales,NA
Menispermaceae,Borismene,Ranunculales,NA
Menispermaceae,Caryomene,Ranunculales,NA
Menispermaceae,Disciphania,Ranunculales,NA
Menispermaceae,Elephantomene,Ranunculales,NA
Menispermaceae,Odontocarya,Ranunculales,NA
Menispermaceae,Orthomene,Ranunculales,NA
Menispermaceae,Sciadotenia,Ranunculales,NA
Menispermaceae,Telitoxicum,Ranunculales,NA
Monimiaceae,Grazielanthus,Laurales,NA
Nyctaginaceae,Colignonia,Caryophyllales,NA
Petiveriaceae,Trichostigma,Caryophyllales,NA
Phytolaccaceae,Agdestis,Caryophyllales,NA
Polemoniaceae,Cobaea,Ericales,NA
Polygonaceae,Antigonon,Caryophyllales,NA
Rhamnaceae,Reissekia,Rosales,NA
Rubiaceae,Emmeorhiza,Gentianales,NA
Sapindaceae,Serjania,Sapindales,NA
Schlegeliaceae,Exarata,Lamiales,NA
Schlegeliaceae,Schlegelia,Lamiales,NA
Solanaceae,Merinthopodium,Solanales,NA
Solanaceae,Trianaea,Solanales,NA
Trigoniaceae,Trigonia,Malpighiales,NA
Verbenaceae,Petrea,Lamiales,NA
Violaceae,Hybanthopsis,Malpighiales,NA
